"JobID","SchoolID","SchoolCampus","DepartmentID","JobTitle"
"JOB7_8","ZGFQX77K","Dartmouth","DEPT9","Scientist"
"JOB3_5","2LMXJNVR","Miami","DEPT10","Administrator"
"JOB4_4","2LMXJNVR","Miami","DEPT10","Coordinator"
"JOB1_6","2LMXJNVR","Miami","DEPT10","Professor"
"JOB2_5","2LMXJNVR","Miami","DEPT10","Lecturer"
"JOB5_5","2LMXJNVR","Miami","DEPT10","Engineer"
"JOB8_6","2LMXJNVR","Miami","DEPT10","Analyst"
"JOB6_6","A77DVZPV","Springfield","DEPT3","Researcher"
"JOB7_9","A77DVZPV","Springfield","DEPT3","Scientist"
"JOB8_7","A77DVZPV","Springfield","DEPT3","Analyst"
"JOB5_6","A77DVZPV","Springfield","DEPT3","Engineer"
"JOB1_7","A77DVZPV","Springfield","DEPT3","Professor"
"JOB1_8","ORPQMQ6W","Davis","DEPT3","Professor"
"JOB6_7","ZGFQX77K","Amherst","DEPT9","Researcher"
"JOB1_9","ZGFQX77K","Amherst","DEPT9","Professor"
"JOB8_8","ZGFQX77K","Amherst","DEPT9","Analyst"
"JOB2_6","ZGFQX77K","Amherst","DEPT9","Lecturer"
"JOB7_10","ZGFQX77K","Amherst","DEPT9","Scientist"
"JOB3_6","2LMXJNVR","Tampa","DEPT10","Administrator"
"JOB7_11","2LMXJNVR","Tampa","DEPT10","Scientist"
"JOB2_7","2LMXJNVR","Tampa","DEPT10","Lecturer"
"JOB2_8","F02K7A4X","San Antonio","DEPT1","Lecturer"
"JOB1_10","F02K7A4X","San Antonio","DEPT1","Professor"
"JOB6_8","F02K7A4X","San Antonio","DEPT1","Researcher"
"JOB4_5","F02K7A4X","San Antonio","DEPT1","Coordinator"
"JOB7_12","F02K7A4X","San Antonio","DEPT1","Scientist"
"JOB4_6","A77DVZPV","Chicago","DEPT3","Coordinator"
"JOB2_9","A77DVZPV","Chicago","DEPT3","Lecturer"
"JOB1_11","A77DVZPV","Chicago","DEPT3","Professor"
"JOB6_9","A77DVZPV","Chicago","DEPT3","Researcher"
"JOB3_7","A77DVZPV","Chicago","DEPT3","Administrator"
"JOB7_13","A77DVZPV","Chicago","DEPT3","Scientist"
"JOB7_14","2LMXJNVR","Gainesville","DEPT10","Scientist"
"JOB2_10","2LMXJNVR","Gainesville","DEPT10","Lecturer"
"JOB6_10","F02K7A4X","Houston","DEPT1","Researcher"
"JOB5_7","F02K7A4X","Houston","DEPT1","Engineer"
"JOB2_11","ORPQMQ6W","Santa Barbara","DEPT3","Lecturer"
"JOB8_9","ZGFQX77K","Dartmouth","DEPT9","Analyst"
"JOB4_7","ORPQMQ6W","Los Angeles","DEPT3","Coordinator"
"JOB6_11","ORPQMQ6W","Los Angeles","DEPT3","Researcher"
"JOB3_8","ORPQMQ6W","Los Angeles","DEPT3","Administrator"
"JOB8_10","A77DVZPV","Urbana-Champaign","DEPT3","Analyst"
"JOB4_8","A77DVZPV","Urbana-Champaign","DEPT3","Coordinator"
"JOB6_12","A77DVZPV","Urbana-Champaign","DEPT3","Researcher"
"JOB1_12","A77DVZPV","Urbana-Champaign","DEPT3","Professor"
"JOB3_9","A77DVZPV","Urbana-Champaign","DEPT3","Administrator"
"JOB2_12","A77DVZPV","Urbana-Champaign","DEPT3","Lecturer"
"JOB2_13","ZGFQX77K","Boston","DEPT9","Lecturer"
"JOB1_13","2LMXJNVR","Tampa","DEPT10","Professor"
"JOB8_11","2LMXJNVR","Tampa","DEPT10","Analyst"
"JOB6_13","2LMXJNVR","Tampa","DEPT10","Researcher"
"JOB4_9","ZGFQX77K","Boston","DEPT9","Coordinator"
"JOB8_12","ZGFQX77K","Boston","DEPT9","Analyst"
"JOB6_14","2LMXJNVR","Gainesville","DEPT10","Researcher"
"JOB4_10","2LMXJNVR","Gainesville","DEPT10","Coordinator"
"JOB5_8","2LMXJNVR","Gainesville","DEPT10","Engineer"
"JOB8_13","2LMXJNVR","Gainesville","DEPT10","Analyst"
"JOB8_14","F02K7A4X","Dallas","DEPT1","Analyst"
"JOB3_10","F02K7A4X","Dallas","DEPT1","Administrator"
"JOB4_11","ORPQMQ6W","Davis","DEPT3","Coordinator"
"JOB4_12","2LMXJNVR","Tampa","DEPT10","Coordinator"
"JOB7_15","ZGFQX77K","Lowell","DEPT9","Scientist"
"JOB7_16","A77DVZPV","Urbana-Champaign","DEPT3","Scientist"
"JOB5_9","A77DVZPV","Urbana-Champaign","DEPT3","Engineer"
"JOB8_15","F02K7A4X","San Antonio","DEPT1","Analyst"
"JOB3_11","ZGFQX77K","Amherst","DEPT9","Administrator"
"JOB5_10","ZGFQX77K","Boston","DEPT9","Engineer"
"JOB3_12","ZGFQX77K","Boston","DEPT9","Administrator"
"JOB2_14","2LMXJNVR","Orlando","DEPT10","Lecturer"
"JOB1_14","ZGFQX77K","Boston","DEPT9","Professor"
"JOB7_17","F02K7A4X","Dallas","DEPT1","Scientist"
"JOB4_13","F02K7A4X","Dallas","DEPT1","Coordinator"
"JOB5_11","F02K7A4X","Dallas","DEPT1","Engineer"
"JOB5_12","F02K7A4X","San Antonio","DEPT1","Engineer"
"JOB5_13","ZGFQX77K","Amherst","DEPT9","Engineer"
"JOB7_18","2LMXJNVR","Miami","DEPT10","Scientist"
"JOB6_15","ZGFQX77K","Lowell","DEPT9","Researcher"
"JOB3_13","ZGFQX77K","Lowell","DEPT9","Administrator"
"JOB1_15","ZGFQX77K","Lowell","DEPT9","Professor"
"JOB8_16","A77DVZPV","Chicago","DEPT3","Analyst"
"JOB5_14","ZGFQX77K","Lowell","DEPT9","Engineer"
"JOB4_14","ZGFQX77K","Lowell","DEPT9","Coordinator"
"JOB8_17","ZGFQX77K","Lowell","DEPT9","Analyst"
"JOB3_14","2LMXJNVR","Gainesville","DEPT10","Administrator"
"JOB1_16","2LMXJNVR","Gainesville","DEPT10","Professor"
"JOB6_16","2LMXJNVR","Miami","DEPT10","Researcher"
"JOB4_15","2LMXJNVR","Orlando","DEPT10","Coordinator"
"JOB5_15","2LMXJNVR","Orlando","DEPT10","Engineer"
"JOB5_16","A77DVZPV","Chicago","DEPT3","Engineer"
"JOB2_15","ZGFQX77K","Lowell","DEPT9","Lecturer"
"JOB5_17","ORPQMQ6W","Berkeley","DEPT3","Engineer"
"JOB8_18","ORPQMQ6W","Berkeley","DEPT3","Analyst"
"JOB3_15","F02K7A4X","Austin","DEPT1","Administrator"
"JOB5_18","2LMXJNVR","Tampa","DEPT10","Engineer"
"JOB4_16","ZGFQX77K","Amherst","DEPT9","Coordinator"
"JOB3_16","F02K7A4X","Houston","DEPT1","Administrator"
"JOB3_17","ORPQMQ6W","Berkeley","DEPT3","Administrator"
"JOB2_16","F02K7A4X","Austin","DEPT1","Lecturer"
"JOB4_17","A77DVZPV","Springfield","DEPT3","Coordinator"
"JOB6_17","ORPQMQ6W","Berkeley","DEPT3","Researcher"
"JOB1_17","ORPQMQ6W","Berkeley","DEPT3","Professor"
"JOB4_18","ORPQMQ6W","Berkeley","DEPT3","Coordinator"
"JOB2_17","F02K7A4X","Dallas","DEPT1","Lecturer"
"JOB1_18","F02K7A4X","Dallas","DEPT1","Professor"
"JOB6_18","F02K7A4X","Dallas","DEPT1","Researcher"
"JOB2_18","ORPQMQ6W","Berkeley","DEPT3","Lecturer"
"JOB3_18","F02K7A4X","San Antonio","DEPT1","Administrator"
